id	subject	topic_code	topic_name	question	optionA	optionB	optionC	optionD	answer	explanation	difficulty	tags
L11201-Q012	L11	L11201	資料基本概念與來源	資料湖 (Data Lake) 優勢？	可儲存原始多格式	只存結構化	無 Metadata	只能小檔案	A	選項「可儲存原始多格式」最符合題意，因此為正確答案。	1	"[""Data"", ""資料湖""]"
L11201-Q013	L11	L11201	資料基本概念與來源	MySQL 屬於？	關係式資料庫	文件型 NoSQL	圖資料庫	TimeSeriesDB	A	選項「關係式資料庫」最符合題意，因此為正確答案。	1	"[""Data"", ""MyS""]"
L11201-Q014	L11	L11201	資料基本概念與來源	ETL 流程 T 代表？	觸發 (Trigger)	傳輸 (Transfer)	轉換 (Transform)	測試 (Test)	C	選項「轉換 (Transform)」最符合題意，因此為正確答案。	1	"[""Data"", ""ETL""]"
L11201-Q015	L11	L11201	資料基本概念與來源	資料蒐集前必須確認？	GPU 型號	目的合法性	螢幕大小	HDR 等級	B	選項「目的合法性」最符合題意，因此為正確答案。	1	"[""Data"", ""資料蒐""]"
L11201-Q016	L11	L11201	資料基本概念與來源	Sensor 量測誤差需？	增亮度	校正平滑	改解析度	提升 FPS	B	選項「校正平滑」最符合題意，因此為正確答案。	1	"[""Data"", ""Sen""]"
L11201-Q017	L11	L11201	資料基本概念與來源	資料稀疏 (Sparse) 常見於？	PCM 音訊	4K 影像	推薦系統矩陣	PNG alpha	C	選項「推薦系統矩陣」最符合題意，因此為正確答案。	1	"[""Data"", ""資料稀""]"
L11201-Q018	L11	L11201	資料基本概念與來源	資料欄位型別錯誤屬於？	風險問題	成本問題	性能問題	品質問題	D	選項「品質問題」最符合題意，因此為正確答案。	1	"[""Data"", ""資料欄""]"
L11201-Q019	L11	L11201	資料基本概念與來源	JSON 屬於？	字體檔	影像壓縮	音訊格式	輕量級資料交換格式	D	選項「輕量級資料交換格式」最符合題意，因此為正確答案。	1	"[""Data"", ""JSO""]"
L11201-Q020	L11	L11201	資料基本概念與來源	標註品質直接影響？	FPS	BLEU	模型準確度	DPI	C	選項「模型準確度」最符合題意，因此為正確答案。	1	"[""Data"", ""標註品""]"
L11201-Q021	L11	L11201	資料基本概念與來源	蒐集醫療資料需符合？	MIT	DMCA	MPL	HIPAA	D	選項「HIPAA」最符合題意，因此為正確答案。	1	"[""Data"", ""蒐集醫""]"
L11201-Q022	L11	L11201	資料基本概念與來源	資料取得速度快量小稱？	Zettabyte	大數據	Petabyte	小批量資料	D	選項「小批量資料」最符合題意，因此為正確答案。	1	"[""Data"", ""資料取""]"
L11201-Q023	L11	L11201	資料基本概念與來源	ETL 與 ELT 差異在？	資料格式	轉換階段位置	硬體平台	可視化方式	B	選項「轉換階段位置」最符合題意，因此為正確答案。	2	"[""Data"", ""ETL""]"
L11201-Q024	L11	L11201	資料基本概念與來源	資料管道 Pipeline 中 'sink' 指？	資料來源	輸出目的地	轉換邏輯	快取層	B	選項「輸出目的地」最符合題意，因此為正確答案。	2	"[""Data"", ""資料管""]"
L11201-Q025	L11	L11201	資料基本概念與來源	NoSQL 適合儲存鍵值對的系統？	Redis	PostgreSQL	Oracle	MariaDB	A	選項「Redis」最符合題意，因此為正確答案。	2	"[""Data"", ""NoS""]"
L11201-Q026	L11	L11201	資料基本概念與來源	Kafka 中資料主題單位稱？	Chunk	Table	Topic	Block	C	選項「Topic」最符合題意，因此為正確答案。	2	"[""Data"", ""Kaf""]"
L11201-Q027	L11	L11201	資料基本概念與來源	Data Lineage 用於？	GPU 監控	增加 HDR	追溯來源與變更	DNS 更新	C	選項「追溯來源與變更」最符合題意，因此為正確答案。	2	"[""Data"", ""Dat""]"
L11201-Q028	L11	L11201	資料基本概念與來源	資料匿名化技術 k-Anonymity，k 越大？	資料遺失	無影響	容易重識別	重識別難度越高	D	選項「重識別難度越高」最符合題意，因此為正確答案。	2	"[""Data"", ""資料匿""]"
L11201-Q029	L11	L11201	資料基本概念與來源	資料倉儲星型 (Star) 架構中心表？	維度表	事實表 (Fact)	索引表	日誌表	B	選項「事實表 (Fact)」最符合題意，因此為正確答案。	2	"[""Data"", ""資料倉""]"
L11201-Q030	L11	L11201	資料基本概念與來源	差分隱私 ε 值越小？	GPU 越快	隱私保護越弱	隱私保護越強	PSNR 越高	C	選項「隱私保護越強」最符合題意，因此為正確答案。	2	"[""Data"", ""差分隱""]"
L11201-Q031	L11	L11201	資料基本概念與來源	半結構化日誌常見格式？	TIFF	MP3	JSON Lines	CSV	C	選項「JSON Lines」最符合題意，因此為正確答案。	2	"[""Data"", ""半結構""]"
L11201-Q032	L11	L11201	資料基本概念與來源	Data Catalog 功能？	重刷 DNS	提升解析度	GPU 超頻	搜尋元資料及血統	D	選項「搜尋元資料及血統」最符合題意，因此為正確答案。	2	"[""Data"", ""Dat""]"
L11201-Q033	L11	L11201	資料基本概念與來源	Message Queue 可平滑？	高峰流量	亮度曲線	HDR	色域	A	選項「高峰流量」最符合題意，因此為正確答案。	2	"[""Data"", ""Mes""]"
L11201-Q034	L11	L11201	資料基本概念與來源	Log 資料屬於？	半結構化	結構化	影像	音訊	A	選項「半結構化」最符合題意，因此為正確答案。	2	"[""Data"", ""Log""]"
L11201-Q035	L11	L11201	資料基本概念與來源	DataOps 目標？	提升 HDR	降低 PSNR	加速交付並保證品質	增加 VRAM	C	選項「加速交付並保證品質」最符合題意，因此為正確答案。	2	"[""Data"", ""Dat""]"
L11201-Q036	L11	L11201	資料基本概念與來源	公共雲存儲資料安全措施？	加密與權控	關閉 https	禁用 ACL	移除備份	A	選項「加密與權控」最符合題意，因此為正確答案。	2	"[""Data"", ""公共雲""]"
L11201-Q037	L11	L11201	資料基本概念與來源	資料來源信賴度 Gold/Silver/Bronze 屬於？	GPU 型號	HDR 等級	rating 分級	色彩深度	C	選項「rating 分級」最符合題意，因此為正確答案。	2	"[""Data"", ""資料來""]"
L11201-Q038	L11	L11201	資料基本概念與來源	Streaming 處理框架？	Apache Flink	PowerPoint	Jupyter	GIMP	A	選項「Apache Flink」最符合題意，因此為正確答案。	2	"[""Data"", ""Str""]"
L11201-Q039	L11	L11201	資料基本概念與來源	ENCODING='utf-8' 作用？	加密檔案	正確解碼文字	提升 FPS	壓縮圖片	B	選項「正確解碼文字」最符合題意，因此為正確答案。	2	"[""Data"", ""ENC""]"
L11201-Q040	L11	L11201	資料基本概念與來源	資料清理 Outlier Removal 技術？	FOV	HDR	DPI	IQR / Z-score	D	選項「IQR / Z-score」最符合題意，因此為正確答案。	2	"[""Data"", ""資料清""]"
L11201-Q041	L11	L11201	資料基本概念與來源	OLAP 操作 'Pivot' 作用？	加密	壓縮資料	旋轉維度分析	降解析度	C	選項「旋轉維度分析」最符合題意，因此為正確答案。	2	"[""Data"", ""OLA""]"
L11201-Q042	L11	L11201	資料基本概念與來源	Data Steward 主要關注？	PSNR	GPU 監控	DNS TTL	品質與標準	D	選項「品質與標準」最符合題意，因此為正確答案。	2	"[""Data"", ""Dat""]"
L11201-Q043	L11	L11201	資料基本概念與來源	ETL 調度常用開源工具？	Apache Airflow	VLC	WinZip	AutoCAD	A	選項「Apache Airflow」最符合題意，因此為正確答案。	2	"[""Data"", ""ETL""]"
L11201-Q044	L11	L11201	資料基本概念與來源	資料孤島導致？	難整合共享	GPU 過熱	HDR 減	TCP 全開	A	選項「難整合共享」最符合題意，因此為正確答案。	2	"[""Data"", ""資料孤""]"
L11201-Q045	L11	L11201	資料基本概念與來源	公開資料需先？	加 HDR	升級 BIOS	關閉防火牆	脫敏與審查	D	選項「脫敏與審查」最符合題意，因此為正確答案。	2	"[""Data"", ""公開資""]"
L11201-Q046	L11	L11201	資料基本概念與來源	Schema Evolution 指？	GPU 頻率變動	資料結構變動兼容挑戰	HDR 偏移	DNS 泄漏	B	選項「資料結構變動兼容挑戰」最符合題意，因此為正確答案。	3	"[""Data"", ""Sch""]"
L11201-Q047	L11	L11201	資料基本概念與來源	CDC (Change Data Capture) 用於？	提升 HDR	壓縮影像	即時捕捉資料變更	重編碼 FPS	C	選項「即時捕捉資料變更」最符合題意，因此為正確答案。	3	"[""Data"", ""CDC""]"
L11201-Q048	L11	L11201	資料基本概念與來源	Data Sovereignty 涉及？	GPU 供電	螢幕色域	資料存放地法規限制	HDR10	C	選項「資料存放地法規限制」最符合題意，因此為正確答案。	3	"[""Data"", ""Dat""]"
L11201-Q049	L11	L11201	資料基本概念與來源	Zero?Copy Ingestion 優勢？	避免重複儲存與搬移	提高亮度	加速 GPU	HDR 疊圖	A	選項「避免重複儲存與搬移」最符合題意，因此為正確答案。	3	"[""Data"", ""Zer""]"
L11201-Q050	L11	L11201	資料基本概念與來源	差分隱私組合定理說明？	JPEG 疊代	多次查詢隱私耗損累加	PSNR 疊加	FPS 漂移	B	選項「多次查詢隱私耗損累加」最符合題意，因此為正確答案。	3	"[""Data"", ""差分隱""]"
L11201-Q051	L11	L11201	資料基本概念與來源	Data Mesh 核心概念？	單一倉儲	集中資料湖	去中心資料產品架構	GPU Pool	C	選項「去中心資料產品架構」最符合題意，因此為正確答案。	3	"[""Data"", ""Dat""]"
L11201-Q052	L11	L11201	資料基本概念與來源	Fully Homomorphic Encryption 特點？	無延遲	不可查詢	加密狀態下可運算	GPU 零功耗	C	選項「加密狀態下可運算」最符合題意，因此為正確答案。	3	"[""Data"", ""Ful""]"
L11201-Q053	L11	L11201	資料基本概念與來源	Shadow Data Risk 指？	未監控的資料副本	暗角	HDR 漏光	LCD 漏液	A	選項「未監控的資料副本」最符合題意，因此為正確答案。	3	"[""Data"", ""Sha""]"
L11201-Q054	L11	L11201	資料基本概念與來源	Critical Data Element(CDE) 用途？	聚焦治理關鍵欄位	增亮度	降噪點	加 VRAM	A	選項「聚焦治理關鍵欄位」最符合題意，因此為正確答案。	3	"[""Data"", ""Cri""]"
L11201-Q055	L11	L11201	資料基本概念與來源	Data Leakage 在 ML pipeline 代表？	HDR 過飽和	JPEG 偏色	使用未來資訊造成洩漏	DNS 失敗	C	選項「使用未來資訊造成洩漏」最符合題意，因此為正確答案。	3	"[""Data"", ""Dat""]"
L11201-Q056	L11	L11201	資料基本概念與來源	Data Residency 與 Localization 差異？	GPU 溫度	存放 vs 處理要求	HDR 對比	BLEU 分數	B	選項「存放 vs 處理要求」最符合題意，因此為正確答案。	3	"[""Data"", ""Dat""]"
L11201-Q057	L11	L11201	資料基本概念與來源	Synthetic Data 風險？	HDR 1000	提升 FPS	延遲 0	可能引入偏差或洩漏	D	選項「可能引入偏差或洩漏」最符合題意，因此為正確答案。	3	"[""Data"", ""Syn""]"
L11201-Q058	L11	L11201	資料基本概念與來源	GraphQL 資料查詢優點？	精確欄位避免過取	增加 HDR	減少 Token	GPU 超頻	A	選項「精確欄位避免過取」最符合題意，因此為正確答案。	3	"[""Data"", ""Gra""]"
L11201-Q059	L11	L11201	資料基本概念與來源	Data Contract 通常不包含？	品質規範	欄位定義	螢幕型號	SLA	C	選項「螢幕型號」最符合題意，因此為正確答案。	3	"[""Data"", ""Dat""]"
L11201-Q060	L11	L11201	資料基本概念與來源	GeoJSON 主要用於？	字體點陣	音訊壓縮	影像濾波	地理空間資料	D	選項「地理空間資料」最符合題意，因此為正確答案。	3	"[""Data"", ""Geo""]"
L11201-Q061	L11	L11201	資料基本概念與來源	Data Provenance 可用區塊鏈驗證？	JPEG 清晰	提高 FPS	HDR 對比	資料不可竄改	D	選項「資料不可竄改」最符合題意，因此為正確答案。	3	"[""Data"", ""Dat""]"
L11201-Q062	L11	L11201	資料基本概念與來源	MDM 解決？	GPU 過熱	跨系統主資料一致	HDR 閃爍	DNS 錯位	B	選項「跨系統主資料一致」最符合題意，因此為正確答案。	3	"[""Data"", ""MDM""]"
L11201-Q063	L11	L11201	資料基本概念與來源	Data Quality Scorecard 目的？	量化 FPS	量化亮度	量化 HDR	量化品質維度	D	選項「量化品質維度」最符合題意，因此為正確答案。	3	"[""Data"", ""Dat""]"
L11201-Q064	L11	L11201	資料基本概念與來源	向量檢索距離選擇需考慮？	資料分布與維度	螢幕大小	GPU 風扇	DNS MX	A	選項「資料分布與維度」最符合題意，因此為正確答案。	3	"[""Data"", ""向量檢""]"
L11201-Q065	L11	L11201	資料基本概念與來源	Faker Library 產生假資料用途？	測試與填充	HDR 增亮	DPI 放大	BLEU 轉換	A	選項「測試與填充」最符合題意，因此為正確答案。	3	"[""Data"", ""Fak""]"
L11201-Q066	L11	L11201	資料基本概念與來源	Data Marketplace 風險？	GPU 零件	合法性與品質不明	HDR 映射	FPS 不穩	B	選項「合法性與品質不明」最符合題意，因此為正確答案。	3	"[""Data"", ""Dat""]"
L11201-Q067	L11	L11201	資料基本概念與來源	Secure MPC 成本主要？	PSNR	通信與計算開銷	HDR	BLEU	B	選項「通信與計算開銷」最符合題意，因此為正確答案。	3	"[""Data"", ""Sec""]"
L11202-Q001	L11	L11202	資料整理與分析流程	ETL 流程的 T 步驟指？	Transform	Transmit	Terminate	Test	A	選項「Transform」最符合題意，因此正確。	1	"[""L11202"", ""ETL""]"
L11202-Q002	L11	L11202	資料整理與分析流程	資料清洗首要步驟？	加HDR	辨識缺失值	GPU超頻	DNS刷新	B	選項「辨識缺失值」最符合題意，因此正確。	1	"[""L11202"", ""資料清""]"
L11202-Q003	L11	L11202	資料整理與分析流程	刪除重複列屬於？	可視化	收集	清理	部署	C	選項「清理」最符合題意，因此正確。	1	"[""L11202"", ""刪除重""]"
L11202-Q004	L11	L11202	資料整理與分析流程	統計描述分析不含？	FFT	平均	中位數	標準差	A	選項「FFT」最符合題意，因此正確。	1	"[""L11202"", ""統計描""]"
L11202-Q005	L11	L11202	資料整理與分析流程	資料分群常用演算法？	SVM	K?Means	Linear Regression	Apriori	B	選項「K?Means」最符合題意，因此正確。	1	"[""L11202"", ""資料分""]"
L11202-Q006	L11	L11202	資料整理與分析流程	Box Plot 用於？	頻譜分析	色彩分佈	HDR強度	識別離群值	D	選項「識別離群值」最符合題意，因此正確。	1	"[""L11202"", ""Box""]"
L11202-Q007	L11	L11202	資料整理與分析流程	交叉驗證目的？	減噪點	升解析度	評估模型泛化	增光源	C	選項「評估模型泛化」最符合題意，因此正確。	1	"[""L11202"", ""交叉驗""]"
L11202-Q008	L11	L11202	資料整理與分析流程	資料正規化常見方法？	DPI	Gamma	Tone Map	Min?Max	D	選項「Min?Max」最符合題意，因此正確。	1	"[""L11202"", ""資料正""]"
L11202-Q009	L11	L11202	資料整理與分析流程	Pandas 函式 head() 功能？	轉置	查看前幾列	繪圖	壓縮	B	選項「查看前幾列」最符合題意，因此正確。	1	"[""L11202"", ""Pan""]"
L11202-Q010	L11	L11202	資料整理與分析流程	資料流批次處理差異？	延遲與規模	HDR 與 Gamma	DPI 與 PPI	GPU 與 CPU	A	選項「延遲與規模」最符合題意，因此正確。	1	"[""L11202"", ""資料流""]"
L11202-Q011	L11	L11202	資料整理與分析流程	特徵工程目的？	增加VRAM	增加亮度	降低溫度	提升模型效果	D	選項「提升模型效果」最符合題意，因此正確。	1	"[""L11202"", ""特徵工""]"
L11202-Q012	L11	L11202	資料整理與分析流程	處理類別型特徵常用？	FFT	One?Hot Encoding	HDR	JPEG	B	選項「One?Hot Encoding」最符合題意，因此正確。	1	"[""L11202"", ""處理類""]"
L11202-Q014	L11	L11202	資料整理與分析流程	資料視覺化條形圖適用？	時間序列趨勢	相關係數	類別比較	分佈密度	C	選項「類別比較」最符合題意，因此正確。	1	"[""L11202"", ""資料視""]"
L11202-Q015	L11	L11202	資料整理與分析流程	SQL 分組聚合函式？	GROUP BY	ORDER BY	JOIN	UNION	A	選項「GROUP BY」最符合題意，因此正確。	1	"[""L11202"", ""SQL""]"
L11202-Q016	L11	L11202	資料整理與分析流程	資料流 Apache Spark 組件？	GDB	Tensorboard	Eclipse	Structured Streaming	D	選項「Structured Streaming」最符合題意，因此正確。	1	"[""L11202"", ""資料流""]"
L11202-Q017	L11	L11202	資料整理與分析流程	資料基準化可消除？	量綱差異	HDR	JPEG噪聲	DNS延遲	A	選項「量綱差異」最符合題意，因此正確。	1	"[""L11202"", ""資料基""]"
L11202-Q018	L11	L11202	資料整理與分析流程	缺失值插補法之一？	GPU填充	HDR 插值	均值填補	Token增	C	選項「均值填補」最符合題意，因此正確。	1	"[""L11202"", ""缺失值""]"
L11202-Q019	L11	L11202	資料整理與分析流程	主成分分析 (PCA) 目的是？	回歸	分類	分群	降維	D	選項「降維」最符合題意，因此正確。	1	"[""L11202"", ""主成分""]"
L11202-Q020	L11	L11202	資料整理與分析流程	Z?Score >3 通常為？	中位數	離群點	峰值	趨勢	B	選項「離群點」最符合題意，因此正確。	1	"[""L11202"", ""ZSc""]"
L11202-Q021	L11	L11202	資料整理與分析流程	使用 Matplotlib plt.plot 可？	壓縮	加密	傳輸	畫折線圖	D	選項「畫折線圖」最符合題意，因此正確。	1	"[""L11202"", ""使用M""]"
L11202-Q022	L11	L11202	資料整理與分析流程	資料快取 (Cache) 目的？	提高HDR	加速存取	增加分辨率	減BLEU	B	選項「加速存取」最符合題意，因此正確。	1	"[""L11202"", ""資料快""]"
L11202-Q023	L11	L11202	資料整理與分析流程	ELT 流行原因？	雲端儲存與計算便宜	HDR普及	GPU降價	DNS加速	A	選項「雲端儲存與計算便宜」最符合題意，因此正確。	2	"[""L11202"", ""ELT""]"
L11202-Q024	L11	L11202	資料整理與分析流程	DataFrame merge 用於？	合併資料表	壓縮	加密	轉向量	A	選項「合併資料表」最符合題意，因此正確。	2	"[""L11202"", ""Dat""]"
L11202-Q025	L11	L11202	資料整理與分析流程	Airflow DAG 排程使用？	HDR	JPEG	CRON 或觸發條件	DNS	C	選項「CRON 或觸發條件」最符合題意，因此正確。	2	"[""L11202"", ""Air""]"
L11202-Q026	L11	L11202	資料整理與分析流程	Lambda 架構含 batch +？	GPU layer	HDR layer	speed layer	DNS layer	C	選項「speed layer」最符合題意，因此正確。	2	"[""L11202"", ""Lam""]"
L11202-Q027	L11	L11202	資料整理與分析流程	資料分桶 (Bucketing) 可？	增BLEU	提升查詢效率	增HDR	降解析	B	選項「提升查詢效率」最符合題意，因此正確。	2	"[""L11202"", ""資料分""]"
L11202-Q028	L11	L11202	資料整理與分析流程	AutoML 流程自動化？	GPU升頻	模型選參調參	HDR優化	DNS同步	B	選項「模型選參調參」最符合題意，因此正確。	2	"[""L11202"", ""Aut""]"
L11202-Q029	L11	L11202	資料整理與分析流程	Spark DataFrame filter 會？	改IP	重啟叢集	加密檔案	回傳符合條件列	D	選項「回傳符合條件列」最符合題意，因此正確。	2	"[""L11202"", ""Spa""]"
L11202-Q030	L11	L11202	資料整理與分析流程	滑動窗口特徵常用於？	詞嵌入	影像分割	時間序列	向量檢索	C	選項「時間序列」最符合題意，因此正確。	2	"[""L11202"", ""滑動窗""]"
L11202-Q031	L11	L11202	資料整理與分析流程	Stratified Sampling 目的？	增FPS	減HDR	保持類別比例	減VRAM	C	選項「保持類別比例」最符合題意，因此正確。	2	"[""L11202"", ""Str""]"
L11202-Q032	L11	L11202	資料整理與分析流程	Anomaly Detection 初始步驟？	提高亮度	定義正常行為	DNS刷新	HDR mapping	B	選項「定義正常行為」最符合題意，因此正確。	2	"[""L11202"", ""Ano""]"
L11202-Q033	L11	L11202	資料整理與分析流程	MapReduce Map 階段負責？	資料切分映射	結果聚合	視覺化	壓縮	A	選項「資料切分映射」最符合題意，因此正確。	2	"[""L11202"", ""Map""]"
L11202-Q034	L11	L11202	資料整理與分析流程	Seaborn heatmap 用途？	改編碼	增亮度	降解析	顯示相關矩陣	D	選項「顯示相關矩陣」最符合題意，因此正確。	2	"[""L11202"", ""Sea""]"
L11202-Q035	L11	L11202	資料整理與分析流程	Data Quality 'timeliness' 指？	準確度	資料時效性	完整性	一致性	B	選項「資料時效性」最符合題意，因此正確。	2	"[""L11202"", ""Dat""]"
L11202-Q036	L11	L11202	資料整理與分析流程	Kafka consumer offset 影響？	PPI	IP	HDR	讀取進度	D	選項「讀取進度」最符合題意，因此正確。	2	"[""L11202"", ""Kaf""]"
L11202-Q037	L11	L11202	資料整理與分析流程	DataOps 目標？	BLEU提高	HDR提升	加速交付並保證品質	FPS穩定	C	選項「加速交付並保證品質」最符合題意，因此正確。	2	"[""L11202"", ""Dat""]"
L11202-Q038	L11	L11202	資料整理與分析流程	ETL 工具 Talend 功能？	HDR計算	圖形化流程設計	GPU監控	DNS探勘	B	選項「圖形化流程設計」最符合題意，因此正確。	2	"[""L11202"", ""ETL""]"
L11202-Q039	L11	L11202	資料整理與分析流程	EDA 步驟包含？	可視化統計檢查	部署	監控	備援	A	選項「可視化統計檢查」最符合題意，因此正確。	2	"[""L11202"", ""EDA""]"
L11202-Q040	L11	L11202	資料整理與分析流程	Robust Scaling 用於？	ToneMapping	HDR校正	降低極端值影響	PSNR	C	選項「降低極端值影響」最符合題意，因此正確。	2	"[""L11202"", ""Rob""]"
L11202-Q041	L11	L11202	資料整理與分析流程	Time Window Join 用途？	流資料聚合	圖像增強	HDR10+	DNS Failover	A	選項「流資料聚合」最符合題意，因此正確。	2	"[""L11202"", ""Tim""]"
L11202-Q042	L11	L11202	資料整理與分析流程	ODS 位置？	DNS緩存	終端可視化	GPU Buffer	來源與倉儲之間	D	選項「來源與倉儲之間」最符合題意，因此正確。	2	"[""L11202"", ""ODS""]"
L11202-Q043	L11	L11202	資料整理與分析流程	UMAP 優點？	BLEU	HDR	FPS	速度保局部結構	D	選項「速度保局部結構」最符合題意，因此正確。	2	"[""L11202"", ""UMA""]"
L11202-Q044	L11	L11202	資料整理與分析流程	ISO-8859 亂碼原因？	解碼不符	HDR衝突	GPU過熱	DNS衝突	A	選項「解碼不符」最符合題意，因此正確。	2	"[""L11202"", ""ISO""]"
L11202-Q045	L11	L11202	資料整理與分析流程	Outlier Removal 方法？	HDR	IQR/Z-score	DPI	FFT	B	選項「IQR/Z-score」最符合題意，因此正確。	2	"[""L11202"", ""Out""]"
L11202-Q046	L11	L11202	資料整理與分析流程	Schema Evolution 問題？	HDR偏移	GPU瓶頸	資料結構變動兼容	DNS loop	C	選項「資料結構變動兼容」最符合題意，因此正確。	3	"[""L11202"", ""Sch""]"
L11202-Q047	L11	L11202	資料整理與分析流程	CDC 用途？	HDR調整	JPEG壓縮	即時捕捉變更	DNS解析	C	選項「即時捕捉變更」最符合題意，因此正確。	3	"[""L11202"", ""CDC""]"
L11202-Q048	L11	L11202	資料整理與分析流程	Data Sovereignty 涉及？	資料存放法規限制	色域	FPS	HDR10	A	選項「資料存放法規限制」最符合題意，因此正確。	3	"[""L11202"", ""Dat""]"
L11202-Q049	L11	L11202	資料整理與分析流程	Zero?Copy Ingestion 優勢？	GPU降頻	提高亮度	避免複製	HDR疊圖	C	選項「避免複製」最符合題意，因此正確。	3	"[""L11202"", ""Zer""]"
L11202-Q050	L11	L11202	資料整理與分析流程	差分隱私組合定理說明？	DPI調整	JPEG 疊代	查詢多次損耗累加	FPS增益	C	選項「查詢多次損耗累加」最符合題意，因此正確。	3	"[""L11202"", ""差分隱""]"
L11202-Q051	L11	L11202	資料整理與分析流程	Data Mesh 核心概念？	集中湖	去中心資料產品	GPU pool	HDR優化	B	選項「去中心資料產品」最符合題意，因此正確。	3	"[""L11202"", ""Dat""]"
L11202-Q052	L11	L11202	資料整理與分析流程	FHE 特點？	無延遲	不可查詢	加密狀態可運算	GPU省電	C	選項「加密狀態可運算」最符合題意，因此正確。	3	"[""L11202"", ""FHE""]"
L11202-Q053	L11	L11202	資料整理與分析流程	Shadow Data Risk 指？	暗角	未監控副本	HDR漏光	FPS下降	B	選項「未監控副本」最符合題意，因此正確。	3	"[""L11202"", ""Sha""]"
L11202-Q054	L11	L11202	資料整理與分析流程	Critical Data Element 目標？	優先治理欄位	增亮度	降噪	增GPU	A	選項「優先治理欄位」最符合題意，因此正確。	3	"[""L11202"", ""Cri""]"
L11202-Q055	L11	L11202	資料整理與分析流程	Data Leakage 定義？	使用未來資訊	JPEG偏色	HDR過飽	DNS失敗	A	選項「使用未來資訊」最符合題意，因此正確。	3	"[""L11202"", ""Dat""]"
L11202-Q056	L11	L11202	資料整理與分析流程	Data Residency vs Localization？	BLEU	GPU溫度	HDR對比	存放 vs 處理要求	D	選項「存放 vs 處理要求」最符合題意，因此正確。	3	"[""L11202"", ""Dat""]"
L11202-Q057	L11	L11202	資料整理與分析流程	Synthetic Data 風險？	引入偏差	FPS高	HDR	延遲0	A	選項「引入偏差」最符合題意，因此正確。	3	"[""L11202"", ""Syn""]"
L11202-Q058	L11	L11202	資料整理與分析流程	GraphQL 優點？	DNS快取	HDR增強	GPU超頻	精確欄位	D	選項「精確欄位」最符合題意，因此正確。	3	"[""L11202"", ""Gra""]"
L11202-Q059	L11	L11202	資料整理與分析流程	Data Contract 不含？	字段定義	螢幕型號	品質規範	SLA	B	選項「螢幕型號」最符合題意，因此正確。	3	"[""L11202"", ""Dat""]"
L11202-Q060	L11	L11202	資料整理與分析流程	GeoJSON 用途？	地理空間資料	音訊	影像	字體	A	選項「地理空間資料」最符合題意，因此正確。	3	"[""L11202"", ""Geo""]"
L11202-Q061	L11	L11202	資料整理與分析流程	Provenance 區塊鏈？	HDR對比	FPS提升	不可竄改	JPEG清晰	C	選項「不可竄改」最符合題意，因此正確。	3	"[""L11202"", ""Pro""]"
L11202-Q062	L11	L11202	資料整理與分析流程	MDM 解決？	GPU熱	主資料一致	HDR閃爍	DNS錯位	B	選項「主資料一致」最符合題意，因此正確。	3	"[""L11202"", ""MDM""]"
